model,dataset,selector,budget_pct,n,status,score_pct,static_reference_score_pct,dense_reference_score_pct,dynamic_minus_static_pp,accuracy_delta_pp,flop_reduction_pct,gate_ok,path
llava15,docvqa,textsim,25,200,n200_pilot,7.15,14.65,16.47,-7.5,-9.32,71.32,True,results/final_scope/llava15/docvqa/dynamic_which_pilot_n200_textsim_p25_instruction_on.json
llava15,docvqa,textsim,35,200,n200_pilot,8.01,16.2,16.47,-8.19,-8.46,61.92,True,results/final_scope/llava15/docvqa/dynamic_which_pilot_n200_textsim_p35_instruction_on.json
llava15,docvqa,textsim,50,200,n200_pilot,9.55,17.01,16.47,-7.46,-6.92,47.89,True,results/final_scope/llava15/docvqa/dynamic_which_pilot_n200_textsim_p50_instruction_on.json
llava15,docvqa,textsim_cls_mix,25,200,n200_pilot,11.66,14.65,16.47,-2.99,-4.81,71.32,True,results/final_scope/llava15/docvqa/dynamic_which_pilot_n200_textsim_cls_mix_p25_instruction_on.json
llava15,docvqa,textsim_cls_mix,35,200,n200_pilot,12.37,16.2,16.47,-3.83,-4.1,61.92,True,results/final_scope/llava15/docvqa/dynamic_which_pilot_n200_textsim_cls_mix_p35_instruction_on.json
llava15,docvqa,textsim_cls_mix,50,200,n200_pilot,13.89,17.01,16.47,-3.12,-2.58,47.89,True,results/final_scope/llava15/docvqa/dynamic_which_pilot_n200_textsim_cls_mix_p50_instruction_on.json
llava15,gqa,textsim,25,1000,n1000_confirm,62.7,64.2,67.3,-1.5,-4.6,71.5,True,results/final_scope/llava15/gqa/dynamic_which_pilot_n1000_textsim_p25.json
llava15,gqa,textsim,25,200,n200_pilot,67.0,66.0,63.5,1.0,3.5,71.49,True,results/final_scope/llava15/gqa/dynamic_which_pilot_n200_textsim_p25.json
llava15,gqa,textsim,35,1000,n1000_confirm,63.7,65.7,67.3,-2.0,-3.6,62.08,True,results/final_scope/llava15/gqa/dynamic_which_pilot_n1000_textsim_p35.json
llava15,gqa,textsim,35,200,n200_pilot,66.5,66.5,63.5,0.0,3.0,62.07,True,results/final_scope/llava15/gqa/dynamic_which_pilot_n200_textsim_p35.json
llava15,gqa,textsim,75,20,n20_smoke,65.0,55.0,60.0,10.0,5.0,24.14,True,results/final_scope/llava15/gqa/dynamic_which_pilot_n20_textsim_p75.json
llava15,gqa,textsim_cls_mix,25,200,n200_pilot,66.5,66.0,63.5,0.5,3.0,71.49,True,results/final_scope/llava15/gqa/dynamic_which_pilot_n200_textsim_cls_mix_p25.json
llava15,gqa,textsim_cls_mix,35,200,n200_pilot,64.5,66.5,63.5,-2.0,1.0,62.07,True,results/final_scope/llava15/gqa/dynamic_which_pilot_n200_textsim_cls_mix_p35.json
llava15,textvqa,textsim,25,200,n200_pilot,47.65,55.7,56.75,-8.05,-9.1,64.82,True,results/final_scope/llava15/textvqa/dynamic_which_pilot_n200_textsim_p25_ocr_on.json
llava15,textvqa,textsim,35,200,n200_pilot,50.8,59.05,56.75,-8.25,-5.95,56.28,True,results/final_scope/llava15/textvqa/dynamic_which_pilot_n200_textsim_p35_ocr_on.json
llava15,textvqa,textsim,50,200,n200_pilot,50.35,57.9,56.75,-7.55,-6.4,43.52,True,results/final_scope/llava15/textvqa/dynamic_which_pilot_n200_textsim_p50_ocr_on.json
llava15,textvqa,textsim_cls_mix,25,200,n200_pilot,50.2,55.7,56.75,-5.5,-6.55,64.82,True,results/final_scope/llava15/textvqa/dynamic_which_pilot_n200_textsim_cls_mix_p25_ocr_on.json
llava15,textvqa,textsim_cls_mix,35,200,n200_pilot,51.0,59.05,56.75,-8.05,-5.75,56.28,True,results/final_scope/llava15/textvqa/dynamic_which_pilot_n200_textsim_cls_mix_p35_ocr_on.json
llava15,textvqa,textsim_cls_mix,50,200,n200_pilot,53.85,57.9,56.75,-4.05,-2.9,43.52,True,results/final_scope/llava15/textvqa/dynamic_which_pilot_n200_textsim_cls_mix_p50_ocr_on.json
llava15,vqav2,textsim,25,200,n200_pilot,71.5,74.67,77.33,-3.17,-5.83,71.79,True,results/final_scope/llava15/vqav2/dynamic_which_pilot_n200_textsim_p25.json
llava15,vqav2,textsim,35,200,n200_pilot,71.67,75.5,77.33,-3.83,-5.66,62.33,True,results/final_scope/llava15/vqav2/dynamic_which_pilot_n200_textsim_p35.json
llava15,vqav2,textsim_cls_mix,25,200,n200_pilot,73.33,74.67,77.33,-1.34,-4.0,71.79,True,results/final_scope/llava15/vqav2/dynamic_which_pilot_n200_textsim_cls_mix_p25.json
llava15,vqav2,textsim_cls_mix,35,200,n200_pilot,72.83,75.5,77.33,-2.67,-4.5,62.33,True,results/final_scope/llava15/vqav2/dynamic_which_pilot_n200_textsim_cls_mix_p35.json
qwen25vl7b,docvqa,textsim,25,200,n200_pilot,40.03,49.1,88.2,-9.07,-48.17,73.47,True,results/final_scope/qwen25vl7b/docvqa/dynamic_which_pilot_n200_textsim_p25_instruction_on.json
qwen25vl7b,docvqa,textsim,35,200,n200_pilot,53.36,67.84,88.2,-14.48,-34.84,63.97,True,results/final_scope/qwen25vl7b/docvqa/dynamic_which_pilot_n200_textsim_p35_instruction_on.json
qwen25vl7b,docvqa,textsim,50,200,n200_pilot,64.69,80.15,88.2,-15.46,-23.51,49.53,True,results/final_scope/qwen25vl7b/docvqa/dynamic_which_pilot_n200_textsim_p50_instruction_on.json
qwen25vl7b,docvqa,textsim_norm_mix,25,200,n200_pilot,39.6,49.1,88.2,-9.5,-48.6,73.47,True,results/final_scope/qwen25vl7b/docvqa/dynamic_which_pilot_n200_textsim_norm_mix_p25_instruction_on.json
qwen25vl7b,docvqa,textsim_norm_mix,35,200,n200_pilot,53.59,67.84,88.2,-14.25,-34.61,63.97,True,results/final_scope/qwen25vl7b/docvqa/dynamic_which_pilot_n200_textsim_norm_mix_p35_instruction_on.json
qwen25vl7b,docvqa,textsim_norm_mix,50,200,n200_pilot,70.17,80.15,88.2,-9.98,-18.03,49.53,True,results/final_scope/qwen25vl7b/docvqa/dynamic_which_pilot_n200_textsim_norm_mix_p50_instruction_on.json
qwen25vl7b,gqa,textsim,25,200,n200_pilot,60.0,67.0,68.0,-7.0,-8.0,67.55,True,results/final_scope/qwen25vl7b/gqa/dynamic_which_pilot_n200_textsim_p25.json
qwen25vl7b,gqa,textsim,35,200,n200_pilot,61.0,68.0,68.0,-7.0,-7.0,58.59,True,results/final_scope/qwen25vl7b/gqa/dynamic_which_pilot_n200_textsim_p35.json
qwen25vl7b,gqa,textsim,75,20,n20_smoke,60.0,55.0,60.0,5.0,0.0,22.95,True,results/final_scope/qwen25vl7b/gqa/dynamic_which_pilot_n20_textsim_p75.json
qwen25vl7b,gqa,textsim_norm_mix,25,200,n200_pilot,67.0,67.0,68.0,0.0,-1.0,67.55,True,results/final_scope/qwen25vl7b/gqa/dynamic_which_pilot_n200_textsim_norm_mix_p25.json
qwen25vl7b,gqa,textsim_norm_mix,35,200,n200_pilot,67.5,68.0,68.0,-0.5,-0.5,58.59,True,results/final_scope/qwen25vl7b/gqa/dynamic_which_pilot_n200_textsim_norm_mix_p35.json
qwen25vl7b,textvqa,textsim,15,5000,final,60.56,53.06,81.06,7.5,-20.5,78.65,True,results/final_scope/qwen25vl7b/textvqa/dynamic_which_final_textsim_p15_ocr_on.json
qwen25vl7b,textvqa,textsim,15,1000,n1000_confirm,62.46,52.76,81.25,9.7,-18.79,78.69,True,results/final_scope/qwen25vl7b/textvqa/dynamic_which_pilot_n1000_textsim_p15_ocr_on.json
qwen25vl7b,textvqa,textsim,25,5000,final,67.53,59.17,81.06,8.36,-13.53,69.64,True,results/final_scope/qwen25vl7b/textvqa/dynamic_which_final_textsim_p25_ocr_on.json
qwen25vl7b,textvqa,textsim,25,1000,n1000_confirm,68.61,60.02,81.25,8.59,-12.64,69.68,True,results/final_scope/qwen25vl7b/textvqa/dynamic_which_pilot_n1000_textsim_p25_ocr_on.json
qwen25vl7b,textvqa,textsim,25,200,n200_pilot,66.25,59.35,80.6,6.9,-14.35,69.03,True,results/final_scope/qwen25vl7b/textvqa/dynamic_which_pilot_n200_textsim_p25_ocr_on.json
qwen25vl7b,textvqa,textsim,35,5000,final,71.36,63.57,81.06,7.79,-9.7,60.56,True,results/final_scope/qwen25vl7b/textvqa/dynamic_which_final_textsim_p35_ocr_on.json
qwen25vl7b,textvqa,textsim,35,1000,n1000_confirm,72.26,63.78,81.25,8.48,-8.99,60.59,True,results/final_scope/qwen25vl7b/textvqa/dynamic_which_pilot_n1000_textsim_p35_ocr_on.json
qwen25vl7b,textvqa,textsim,35,200,n200_pilot,70.45,61.65,80.6,8.8,-10.15,60.02,True,results/final_scope/qwen25vl7b/textvqa/dynamic_which_pilot_n200_textsim_p35_ocr_on.json
qwen25vl7b,textvqa,textsim,50,5000,final,76.08,70.14,81.06,5.94,-4.98,46.84,True,results/final_scope/qwen25vl7b/textvqa/dynamic_which_final_textsim_p50_ocr_on.json
qwen25vl7b,textvqa,textsim,50,1000,n1000_confirm,75.68,70.19,81.25,5.49,-5.57,46.86,True,results/final_scope/qwen25vl7b/textvqa/dynamic_which_pilot_n1000_textsim_p50_ocr_on.json
qwen25vl7b,textvqa,textsim,50,200,n200_pilot,73.25,72.75,80.6,0.5,-7.35,46.42,True,results/final_scope/qwen25vl7b/textvqa/dynamic_which_pilot_n200_textsim_p50_ocr_on.json
qwen25vl7b,textvqa,textsim,75,5000,final,79.8,78.43,81.06,1.37,-1.26,23.63,True,results/final_scope/qwen25vl7b/textvqa/dynamic_which_final_textsim_p75_ocr_on.json
qwen25vl7b,textvqa,textsim,75,1000,n1000_confirm,79.57,78.06,81.25,1.51,-1.68,23.65,True,results/final_scope/qwen25vl7b/textvqa/dynamic_which_pilot_n1000_textsim_p75_ocr_on.json
qwen25vl7b,textvqa,textsim_norm_mix,25,200,n200_pilot,60.6,59.35,80.6,1.25,-20.0,69.03,True,results/final_scope/qwen25vl7b/textvqa/dynamic_which_pilot_n200_textsim_norm_mix_p25_ocr_on.json
