model,dataset,budget_pct,dynamic_score_pct,static_score_pct,dense_score_pct,dynamic_minus_static_pp,dynamic_minus_dense_pp,token_reduction_pct,flop_reduction_pct,gate_ok,n,path
llava15,docvqa,15,11.41,17.73,21.53,-6.32,-10.12,80.18,80.67,True,5349,results/final_scope/llava15/docvqa/dynamic_which_final_textsim_p15_instruction_on.json
llava15,docvqa,25,12.5,19.32,21.53,-6.82,-9.03,70.69,71.33,True,5349,results/final_scope/llava15/docvqa/dynamic_which_final_textsim_p25_instruction_on.json
llava15,docvqa,35,13.35,20.09,21.53,-6.74,-8.18,61.2,61.93,True,5349,results/final_scope/llava15/docvqa/dynamic_which_final_textsim_p35_instruction_on.json
llava15,docvqa,50,14.47,20.75,21.53,-6.28,-7.06,47.13,47.9,True,5349,results/final_scope/llava15/docvqa/dynamic_which_final_textsim_p50_instruction_on.json
llava15,docvqa,75,17.39,21.36,21.53,-3.97,-4.14,23.56,24.12,True,5349,results/final_scope/llava15/docvqa/dynamic_which_final_textsim_p75_instruction_on.json
llava15,gqa,15,55.41,56.14,61.42,-0.73,-6.01,80.36,80.85,True,12578,results/final_scope/llava15/gqa/dynamic_which_final_textsim_p15.json
llava15,gqa,25,56.89,58.15,61.42,-1.26,-4.53,70.85,71.48,True,12578,results/final_scope/llava15/gqa/dynamic_which_final_textsim_p25.json
llava15,gqa,35,57.54,59.41,61.42,-1.87,-3.88,61.34,62.07,True,12578,results/final_scope/llava15/gqa/dynamic_which_final_textsim_p35.json
llava15,gqa,50,58.96,60.53,61.42,-1.57,-2.46,47.23,48.0,True,12578,results/final_scope/llava15/gqa/dynamic_which_final_textsim_p50.json
llava15,gqa,75,60.8,61.53,61.42,-0.73,-0.62,23.62,24.17,True,12578,results/final_scope/llava15/gqa/dynamic_which_final_textsim_p75.json
llava15,textvqa,15,47.48,56.05,57.65,-8.57,-10.17,73.97,74.6,True,5000,results/final_scope/llava15/textvqa/dynamic_which_final_textsim_p15_ocr_on.json
llava15,textvqa,25,49.1,55.97,57.65,-6.87,-8.55,65.22,65.96,True,5000,results/final_scope/llava15/textvqa/dynamic_which_final_textsim_p25_ocr_on.json
llava15,textvqa,35,49.76,56.71,57.65,-6.95,-7.89,56.46,57.27,True,5000,results/final_scope/llava15/textvqa/dynamic_which_final_textsim_p35_ocr_on.json
llava15,textvqa,50,50.81,56.4,57.65,-5.59,-6.84,43.48,44.29,True,5000,results/final_scope/llava15/textvqa/dynamic_which_final_textsim_p50_ocr_on.json
