model,dataset,selector,budget_pct,score_pct,dense_score_pct,accuracy_delta_pp,accuracy_drop_pp,visual_tokens_avg,token_reduction_pct,flop_reduction_pct,n,gate_ok
llava15,docvqa,cls_attn,15,17.73,21.53,-3.8,3.8,86.0,80.18,80.67,5349,True
llava15,docvqa,cls_attn,25,19.32,21.53,-2.21,2.21,144.0,70.69,71.33,5349,True
llava15,docvqa,cls_attn,35,20.09,21.53,-1.44,1.44,202.0,61.2,61.93,5349,True
llava15,docvqa,cls_attn,50,20.75,21.53,-0.78,0.78,288.0,47.13,47.9,5349,True
llava15,docvqa,cls_attn,75,21.36,21.53,-0.17,0.17,432.0,23.56,24.12,5349,True
llava15,gqa,cls_attn,15,56.14,61.42,-5.28,5.28,86.0,80.36,80.85,12578,True
llava15,gqa,cls_attn,25,58.15,61.42,-3.27,3.27,144.0,70.85,71.48,12578,True
llava15,gqa,cls_attn,35,59.41,61.42,-2.01,2.01,202.0,61.34,62.07,12578,True
llava15,gqa,cls_attn,50,60.53,61.42,-0.89,0.89,288.0,47.23,48.0,12578,True
llava15,gqa,cls_attn,75,61.53,61.42,0.11,-0.11,432.0,23.62,24.17,12578,True
llava15,textvqa,cls_attn,15,56.05,57.65,-1.6,1.6,86.0,73.97,74.6,5000,True
llava15,textvqa,cls_attn,25,55.97,57.65,-1.68,1.68,144.0,65.22,65.96,5000,True
llava15,textvqa,cls_attn,35,56.71,57.65,-0.94,0.94,202.0,56.46,57.27,5000,True
llava15,textvqa,cls_attn,50,56.4,57.65,-1.25,1.25,288.0,43.48,44.29,5000,True
llava15,textvqa,cls_attn,75,57.39,57.65,-0.26,0.26,432.0,21.74,22.3,5000,True
llava15,vqav2,cls_attn,15,73.36,77.33,-3.97,3.97,86.0,80.72,81.19,25000,True
llava15,vqav2,cls_attn,25,75.55,77.33,-1.78,1.78,144.0,71.16,71.79,25000,True
llava15,vqav2,cls_attn,35,76.13,77.33,-1.2,1.2,202.0,61.61,62.33,25000,True
llava15,vqav2,cls_attn,50,76.94,77.33,-0.39,0.39,288.0,47.44,48.21,25000,True
llava15,vqav2,cls_attn,75,77.31,77.33,-0.02,0.02,432.0,23.72,24.28,25000,True
qwen25vl7b,docvqa,norm,15,29.9,94.76,-64.86,64.86,184.30697326603104,82.19,82.88,5349,True
qwen25vl7b,docvqa,norm,25,49.55,94.76,-45.21,45.21,307.35445877734156,72.51,73.44,5349,True
qwen25vl7b,docvqa,norm,35,68.86,94.76,-25.9,25.9,430.1058141708731,62.86,63.95,5349,True
qwen25vl7b,docvqa,norm,50,84.79,94.76,-9.97,9.97,614.581417087306,48.34,49.51,5349,True
qwen25vl7b,docvqa,norm,75,93.98,94.76,-0.78,0.78,921.7463077210693,24.18,25.03,5349,True
qwen25vl7b,gqa,norm,15,56.04,60.96,-4.92,4.92,54.004929241532835,76.28,76.56,12578,True
qwen25vl7b,gqa,norm,25,58.77,60.96,-2.19,2.19,89.60430911114645,67.37,67.71,12578,True
qwen25vl7b,gqa,norm,35,59.99,60.96,-0.97,0.97,125.65829225632056,58.34,58.71,12578,True
qwen25vl7b,gqa,norm,50,60.53,60.96,-0.43,0.43,179.29305135951662,44.91,45.29,12578,True
qwen25vl7b,gqa,norm,75,60.85,60.96,-0.11,0.11,268.99451423119734,22.44,22.71,12578,True
qwen25vl7b,textvqa,norm,15,53.06,81.06,-28.0,28.0,144.5634,77.98,78.65,5000,True
qwen25vl7b,textvqa,norm,25,59.17,81.06,-21.89,21.89,240.9576,68.81,69.64,5000,True
qwen25vl7b,textvqa,norm,35,63.57,81.06,-17.49,17.49,337.4904,59.61,60.56,5000,True
qwen25vl7b,textvqa,norm,50,70.14,81.06,-10.92,10.92,481.9224,45.86,46.84,5000,True
qwen25vl7b,textvqa,norm,75,78.43,81.06,-2.63,2.63,722.6682,22.94,23.63,5000,True
qwen25vl7b,vqav2,norm,15,76.16,84.27,-8.11,8.11,53.99908,76.74,77.01,25000,True
qwen25vl7b,vqav2,norm,25,78.89,84.27,-5.38,5.38,89.62084,67.76,68.1,25000,True
qwen25vl7b,vqav2,norm,35,80.49,84.27,-3.78,3.78,125.66636,58.68,59.06,25000,True
qwen25vl7b,vqav2,norm,50,82.09,84.27,-2.18,2.18,179.31004,45.17,45.55,25000,True
qwen25vl7b,vqav2,norm,75,83.66,84.27,-0.61,0.61,269.0042,22.58,22.84,25000,True
