model,dataset,method,selector,setting,n,score_pct,avg_visual_or_Ki,avg_TFLOPs,token_reduction_pct,flop_reduction_pct,delta_vs_dense_pp,delta_vs_static_curve_pp,label,eval_population
llava15,gqa,dense,-,all tokens,12578,61.42,576.0,3.166,0.0,0.0,0.0,,reference,full
llava15,gqa,static,cls_attn,p15,12578,56.14,86.0,0.606,80.36,80.85,-5.28,,baseline,full
llava15,gqa,static,cls_attn,p25,12578,58.15,144.0,0.903,70.85,71.48,-3.27,,baseline,full
llava15,gqa,static,cls_attn,p35,12578,59.41,202.0,1.201,61.34,62.07,-2.01,,baseline,full
llava15,gqa,static,cls_attn,p50,12578,60.53,288.0,1.647,47.23,48.0,-0.89,,baseline,full
llava15,gqa,static,cls_attn,p75,12578,61.53,432.0,2.401,23.62,24.17,0.11,,baseline,full
llava15,gqa,dynamic_which,textsim,p15,12578,55.41,86.0,0.606,80.36,80.85,-6.01,-0.73,loss,full
llava15,gqa,dynamic_which,textsim,p25,12578,56.89,144.0,0.903,70.85,71.48,-4.53,-1.26,loss,full
llava15,gqa,dynamic_which,textsim,p35,12578,57.54,202.0,1.201,61.34,62.07,-3.88,-1.87,loss,full
llava15,gqa,dynamic_which,textsim,p50,12578,58.96,288.0,1.647,47.23,48.0,-2.46,-1.57,loss,full
llava15,gqa,dynamic_which,textsim,p75,12578,60.8,432.0,2.401,23.62,24.17,-0.62,-0.73,loss,full
llava15,gqa,dc_d,cls_attn,probe p25→p50 (esc 1.91%),10062,58.03,149.5,0.935,74.05,70.49,-3.11,-0.1,near-tie,eval-80%
llava15,gqa,dc_c,cls_attn,"ridge λ0.6 (esc 89.92%, K̄=233, uniqK=216)",10062,59.77,366.7,2.195,36.33,30.68,-1.37,-1.26,loss,eval-80%
llava15,gqa,dc_c,cls_attn,"rule λ0.6 (esc 100.0%, K̄=190, uniqK=2)",10062,58.58,334.1,2.044,42.01,35.46,-2.56,-2.24,loss,eval-80%
llava15,vqav2,dense,-,all tokens,25000,77.33,576.0,3.152,0.0,0.0,0.0,,reference,full
llava15,vqav2,static,cls_attn,p15,25000,73.36,86.0,0.593,80.72,81.19,-3.97,,baseline,full
llava15,vqav2,static,cls_attn,p25,25000,75.55,144.0,0.889,71.16,71.79,-1.78,,baseline,full
llava15,vqav2,static,cls_attn,p35,25000,76.13,202.0,1.187,61.61,62.33,-1.2,,baseline,full
llava15,vqav2,static,cls_attn,p50,25000,76.94,288.0,1.633,47.44,48.21,-0.39,,baseline,full
llava15,vqav2,static,cls_attn,p75,25000,77.31,432.0,2.387,23.72,24.28,-0.02,,baseline,full
llava15,vqav2,dynamic_which,textsim,p15,25000,68.33,86.0,0.593,80.72,81.19,-9.0,-5.03,loss,full
llava15,vqav2,dynamic_which,textsim,p25,25000,70.03,144.0,0.889,71.16,71.79,-7.3,-5.52,loss,full
llava15,vqav2,dynamic_which,textsim,p35,25000,71.32,202.0,1.187,61.61,62.33,-6.01,-4.81,loss,full
llava15,vqav2,dynamic_which,textsim,p50,25000,73.14,288.0,1.633,47.44,48.21,-4.19,-3.8,loss,full
llava15,vqav2,dynamic_which,textsim,p75,25000,75.72,432.0,2.387,23.72,24.28,-1.61,-1.59,loss,full
llava15,vqav2,dc_d,cls_attn,probe p25→p50 (esc 9.6%),20000,75.89,171.6,1.046,70.2,66.81,-1.31,0.06,near-tie,eval-80%
llava15,vqav2,dc_c,cls_attn,"ridge λ0.6 (esc 54.13%, K̄=161, uniqK=219)",20000,76.34,269.2,1.614,53.27,48.78,-0.86,-0.51,loss,eval-80%
llava15,vqav2,dc_c,cls_attn,"rule λ0.6 (esc 40.55%, K̄=148, uniqK=230)",20000,76.29,239.4,1.441,58.45,54.29,-0.91,-0.25,near-tie,eval-80%
llava15,textvqa,dense,-,all tokens,5000,57.65,576.0,3.45,0.0,0.0,0.0,,reference,full
llava15,textvqa,static,cls_attn,p15,5000,56.05,86.0,0.876,73.97,74.6,-1.6,,baseline,full
llava15,textvqa,static,cls_attn,p25,5000,55.97,144.0,1.174,65.22,65.96,-1.68,,baseline,full
llava15,textvqa,static,cls_attn,p35,5000,56.71,202.0,1.474,56.46,57.27,-0.94,,baseline,full
llava15,textvqa,static,cls_attn,p50,5000,56.4,288.0,1.922,43.48,44.29,-1.25,,baseline,full
llava15,textvqa,static,cls_attn,p75,5000,57.39,432.0,2.68,21.74,22.3,-0.26,,baseline,full
llava15,textvqa,dynamic_which,textsim,p15,5000,47.48,86.0,0.876,73.97,74.6,-10.17,-8.57,loss,full
llava15,textvqa,dynamic_which,textsim,p25,5000,49.1,144.0,1.174,65.22,65.96,-8.55,-6.87,loss,full
llava15,textvqa,dynamic_which,textsim,p35,5000,49.76,202.0,1.474,56.46,57.27,-7.89,-6.95,loss,full
llava15,textvqa,dynamic_which,textsim,p50,5000,50.81,288.0,1.922,43.48,44.29,-6.84,-5.59,loss,full
llava15,textvqa,dynamic_which,textsim,p75,5000,53.48,432.0,2.68,21.74,22.3,-4.17,-3.91,loss,full
llava15,textvqa,dc_d,cls_attn,probe p15→p75 (esc 50.88%),4000,57.12,305.8,2.239,46.91,35.12,-0.26,0.75,win,eval-80%
llava15,textvqa,dc_c,cls_attn,"ridge λ0.8 (esc 62.3%, K̄=222, uniqK=349)",4000,56.75,281.4,2.168,51.14,37.17,-0.62,0.48,near-tie,eval-80%
llava15,textvqa,dc_c,cls_attn,"rule λ1.2 (esc 100.0%, K̄=202, uniqK=349)",4000,56.91,287.7,2.354,50.05,31.77,-0.46,0.37,near-tie,eval-80%
llava15,docvqa,dense,-,all tokens,5349,21.53,576.0,3.174,0.0,0.0,0.0,,reference,full
llava15,docvqa,static,cls_attn,p15,5349,17.73,86.0,0.613,80.18,80.67,-3.8,,baseline,full
llava15,docvqa,static,cls_attn,p25,5349,19.32,144.0,0.91,70.69,71.33,-2.21,,baseline,full
llava15,docvqa,static,cls_attn,p35,5349,20.09,202.0,1.208,61.2,61.93,-1.44,,baseline,full
llava15,docvqa,static,cls_attn,p50,5349,20.75,288.0,1.654,47.13,47.9,-0.78,,baseline,full
llava15,docvqa,static,cls_attn,p75,5349,21.36,432.0,2.408,23.56,24.12,-0.17,,baseline,full
llava15,docvqa,dynamic_which,textsim,p15,5349,11.41,86.0,0.613,80.18,80.67,-10.12,-6.32,loss,full
llava15,docvqa,dynamic_which,textsim,p25,5349,12.5,144.0,0.91,70.69,71.33,-9.03,-6.82,loss,full
llava15,docvqa,dynamic_which,textsim,p35,5349,13.35,202.0,1.208,61.2,61.93,-8.18,-6.74,loss,full
llava15,docvqa,dynamic_which,textsim,p50,5349,14.47,288.0,1.654,47.13,47.9,-7.06,-6.28,loss,full
llava15,docvqa,dynamic_which,textsim,p75,5349,17.39,432.0,2.408,23.56,24.12,-4.14,-3.97,loss,full
llava15,docvqa,dc_d,cls_attn,probe p25→p75 (esc 74.29%),4279,20.83,464.9,2.704,19.28,14.85,-1.08,-0.89,loss,eval-80%
